SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,LOT SIZE_na,$-SQUARE FEET_na,HOA-MONTH_na,PRICE,SQUARE FEET,LOT SIZE,DAYS ON MARKET,$-SQUARE FEET,HOA-MONTH
1,2,1,3,3,1,3,1,1,1,1,1,1,0.8597761,-0.27124414,1.5448718,-0.19396693,2.9782014,0.34699383
1,2,1,4,4,1,3,1,1,2,1,2,1,0.15093789,-0.31500894,-0.38302228,3.9702744,-0.3289177,0.19754732
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.43322742,-0.2694206,2.7085936,-0.19396693,-0.73800147,0.05485968
1,3,1,6,3,1,2,1,1,2,1,2,2,-0.29145986,-0.31500894,-0.3652841,-0.19396693,-0.3289177,-0.2725709
1,3,1,11,10,1,1,1,1,1,1,1,2,-0.05796036,3.122353,-0.3777448,-0.19396693,-0.9274718,-0.2725709
1,6,1,12,14,1,3,1,1,1,1,1,2,0.7742986,4.1882086,-0.30708516,-0.19396693,-0.53417724,-0.2725709
1,2,1,3,1,1,2,1,1,1,2,1,1,-0.56211084,-0.5429507,-0.26847523,-0.19396693,-1.0322547,-0.509883
1,3,1,9,3,2,2,1,1,1,1,1,2,-0.14093608,1.0070533,-0.3662736,-0.19396693,-0.6719739,-0.2725709
1,6,1,7,10,1,3,1,1,1,1,1,2,1.6520065,3.924708,-0.39702228,-0.19396693,0.025621524,-0.2725709
1,5,1,4,2,1,2,1,1,2,1,2,2,-0.35984188,-0.31500894,-0.3845982,-0.19396693,-0.3289177,-0.2725709
1,2,1,2,1,1,3,1,1,1,1,1,1,0.08839379,-0.72439235,1.5448718,-0.19396693,2.2475922,-0.21925078
1,3,1,7,5,1,2,1,1,2,1,2,2,-0.20348059,-0.31500894,-0.31276578,-0.19396693,-0.3289177,-0.2725709
1,2,1,4,3,1,2,1,1,1,2,1,1,-0.2787425,-0.21471457,-0.26847523,-0.19396693,-0.3447069,0.24035361
1,2,1,3,1,1,3,1,1,2,1,2,1,-0.28687328,-0.31500894,0.26607156,-0.19396693,-0.3289177,0.32446423
1,2,1,4,3,1,2,1,1,1,2,1,1,-0.43322742,-0.2694206,-0.26847523,-0.19396693,-0.73800147,-0.037511792
1,3,1,7,5,1,1,1,1,1,1,1,2,-0.0996567,0.24116896,-0.3845982,-0.19396693,-0.2758086,-0.2725709
1,2,1,2,1,1,3,1,1,2,1,2,1,-0.3502517,-0.31500894,0.1646266,-0.19396693,-0.3289177,-0.6811081
1,2,1,2,1,1,1,1,1,1,2,1,2,-0.55164504,-0.7708925,-0.26847523,-0.19396693,-0.86000884,-0.2725709
1,2,1,3,4,1,4,1,1,1,1,1,1,-0.529129,-0.31500894,-0.41575003,-0.19396693,-0.9992409,-0.55869716
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.32690176,-0.7909514,-0.19035748,-0.19396693,0.38877305,-0.5632031
1,6,1,4,5,1,4,1,1,1,1,1,2,-0.14097777,1.0526416,-0.38166627,-0.19396693,-0.6848923,-0.2725709
1,2,1,3,4,1,3,1,1,1,1,1,1,-0.26810992,0.45999303,0.8221131,-0.19396693,-0.69206923,2.9018536
1,5,1,3,4,1,4,1,1,1,1,1,2,-0.43322742,-0.52106833,-0.36506417,-0.19396693,-0.5600141,-0.2725709
1,2,1,2,1,1,3,1,1,2,1,2,1,-0.34983474,-0.31500894,0.14809781,-0.19396693,-0.3289177,0.6443849
1,2,1,2,3,1,3,1,1,2,1,2,1,0.40111634,-0.31500894,-0.01927905,-0.19396693,-0.3289177,1.3683369
1,6,1,4,1,1,4,1,1,1,1,1,2,-0.3081384,0.55481684,-0.230525,-0.19396693,-0.7896752,-0.2725709
1,2,1,2,2,1,3,1,1,1,1,1,1,-0.28687328,-0.63412744,-0.21077108,-0.19396693,0.1906904,0.27414805
1,2,1,3,1,1,2,1,1,2,2,2,1,-0.49418747,-0.31500894,-0.26847523,-0.19396693,-0.3289177,-0.18996227
1,2,1,3,2,1,2,1,1,1,2,1,1,-0.46670958,-0.5876273,-0.26847523,-0.19396693,-0.62891245,-0.8500804
1,3,1,6,3,1,2,1,1,2,1,2,2,-0.38694492,-0.31500894,-0.347949,-0.19396693,-0.3289177,-0.2725709
1,3,1,6,5,1,3,1,1,1,1,1,2,0.108825,1.09823,-0.3845982,-0.19396693,-0.37915605,-0.2725709
1,6,1,5,7,1,3,1,1,1,1,1,2,2.9028966,1.3279953,-0.41948825,-0.19396693,2.7973433,-0.2725709
1,2,1,1,1,1,3,1,1,2,1,2,1,-0.41237926,-0.31500894,0.3373909,-0.19396693,-0.3289177,-0.7186575
1,2,1,3,1,1,2,1,1,2,2,2,1,-0.5086978,-0.31500894,-0.26847523,-0.19396693,-0.3289177,-0.31012028
1,5,1,5,6,1,2,1,1,1,1,1,2,0.13009013,1.6452903,-0.018106276,-0.19396693,-0.5298711,-0.2725709
1,2,1,2,1,1,2,1,1,1,2,1,1,-0.5249594,-0.7253041,-0.26847523,-0.19396693,-0.7624029,-0.57972485
1,2,1,3,3,1,3,1,1,1,1,1,1,0.06546081,0.35969868,-0.27695954,1.5118669,-0.04758293,1.4975069
1,3,1,4,5,1,3,1,1,1,1,1,2,0.10715715,0.8876118,-0.39192805,-0.19396693,-0.29159778,-0.2725709
1,5,1,4,3,1,1,1,1,1,1,1,2,-0.40570784,-0.34600905,-0.39192805,-0.19396693,-0.6088171,-0.2725709
1,5,1,5,8,1,1,1,1,1,1,1,2,0.56790173,2.0282326,-0.34245163,-0.19396693,-0.21552257,-0.2725709
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.403623,-0.972393,0.1604486,-0.19396693,0.5725019,-0.82604873
1,5,1,4,3,1,2,1,1,1,1,1,2,-0.39153108,-0.3159207,-0.40006417,-0.19396693,-0.58728635,-0.2725709
1,2,1,3,1,1,2,1,1,2,2,2,1,-0.43781403,-0.31500894,-0.26847523,-0.19396693,-0.3289177,-0.45130596
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.26810992,-0.57759786,-0.39192805,-0.19396693,0.15480585,-0.6788552
1,2,1,3,1,1,2,1,1,2,2,2,1,-0.4620446,-0.31500894,-0.26847523,-0.19396693,-0.3289177,-0.23952745
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.5375517,-0.8620692,0.33922336,-0.19396693,-0.6863277,-0.66308445
1,7,1,1,0,1,4,1,1,2,1,2,2,-0.34983474,-0.31500894,-0.07308006,-0.19396693,-0.3289177,-0.2725709
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.09923974,-0.42806807,-0.3662736,-0.19396693,0.48350823,-0.41976446
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.0996567,-0.48186234,1.2105945,-0.19396693,0.59259725,-0.19371721
1,2,1,3,2,1,3,1,1,2,1,2,1,-0.32856962,-0.31500894,-0.3626087,-0.19396693,-0.3289177,-0.74118716
1,2,1,3,1,1,2,1,1,1,2,1,1,-0.5329284,-0.7863925,-0.26847523,-0.19396693,-0.74517834,-0.5256537
1,3,1,9,7,1,2,1,1,1,2,1,2,-0.26644206,1.2988187,-0.26847523,-0.19396693,-0.89302266,-0.2725709
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.49577194,-0.48095056,0.94210255,1.4115238,-0.8169474,-0.4355352
1,3,1,5,3,1,2,1,1,2,1,2,2,-0.099240154,-0.31500894,-0.3626087,-0.19396693,-0.3289177,-0.2725709
1,5,1,4,1,1,2,1,1,1,1,1,2,-0.43281046,-0.5611861,-0.33607468,3.4434729,-0.51982343,-0.2725709
1,2,1,2,2,1,3,1,1,1,1,1,1,0.79723155,-0.41803864,0.4146474,-0.19396693,3.4403944,-0.042017717
1,6,1,4,6,1,4,1,1,1,1,1,1,-0.25143138,1.09823,-0.31042024,-0.19396693,-0.83847815,-0.99426997
1,2,1,4,3,1,2,1,1,2,1,2,1,-0.37902218,-0.31500894,4.130509,-0.19396693,-0.3289177,-0.54743236
1,2,1,4,6,1,3,1,1,1,1,1,1,2.4838486,0.922259,0.33519194,-0.19396693,2.9566708,6.1468706
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.37068292,-0.80006903,0.43890917,-0.19396693,0.17203043,-0.35517955
1,6,1,6,8,1,3,1,1,1,1,1,2,-0.07839157,0.6605818,-0.4097762,-0.19396693,-0.46240819,-0.2725709
1,3,1,7,3,2,2,1,1,1,2,1,2,-0.3289866,-0.06153771,-0.26847523,-0.19396693,-0.5815449,-0.2725709
1,5,1,3,1,1,2,1,1,1,1,1,2,-0.40570784,-0.7225688,-0.3662736,-0.19396693,-0.18107341,-0.2725709
1,2,1,3,1,1,2,1,1,2,2,2,1,-0.50411123,-0.31500894,-0.26847523,-0.19396693,-0.3289177,-0.3446657
1,3,1,0,0,1,3,1,1,2,1,2,2,0.23433098,-0.31500894,-0.37404323,-0.19396693,-0.3289177,-0.2725709
1,2,1,2,1,1,3,1,1,2,1,2,1,-0.39528376,-0.31500894,0.46482015,-0.19396693,-0.3289177,-0.19897412
1,2,1,3,1,1,3,1,1,2,1,2,1,-0.29729736,-0.31500894,-0.25878152,-0.19396693,-0.3289177,-0.34391472
1,2,1,4,8,1,3,1,1,2,1,2,1,0.4824242,-0.31500894,-0.18409047,-0.19396693,-0.3289177,2.2552533
1,2,1,3,1,1,2,1,1,1,2,1,1,-0.45786998,-0.5830685,-0.26847523,-0.19396693,-0.597334,-0.37245226
1,2,1,3,2,1,2,1,1,2,2,2,1,-0.47951037,-0.31500894,-0.26847523,-0.19396693,-0.3289177,-0.40324274
1,3,1,8,4,1,1,1,1,1,1,1,2,0.44281268,2.1695564,-0.23800144,-0.19396693,-0.37197915,-0.2725709
1,2,1,1,1,1,3,1,1,2,1,2,1,-0.48076126,-0.31500894,-0.2706192,-0.19396693,-0.3289177,-0.388223
1,5,1,4,1,2,4,1,1,1,1,1,2,-0.48743266,-0.16730268,-0.3530799,-0.19396693,-0.93177795,-0.2725709
1,2,1,4,3,1,2,1,1,1,2,1,1,-0.44573632,0.10622743,-0.26847523,-0.19396693,-0.91742414,-0.71114767
1,2,1,1,1,1,3,1,1,2,1,2,1,-0.44573632,-0.31500894,-0.3663469,-0.19396693,-0.3289177,-0.8388155
1,3,1,6,5,1,2,1,1,2,1,2,2,-0.41196272,-0.31500894,-0.26633126,-0.19396693,-0.3289177,-0.2725709
1,2,1,1,1,1,3,1,1,2,1,2,1,-0.5245424,-0.31500894,-0.36429456,-0.19396693,-0.3289177,-0.52940863
1,2,1,4,5,1,3,1,1,1,1,1,1,0.35733518,0.58125806,-0.0895722,-0.19396693,0.2768133,1.2534359
1,2,1,2,2,1,3,1,1,1,1,1,1,0.023764465,-0.6651275,0.14131771,-0.19396693,1.6533442,-0.036760803
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.24517693,-0.811922,-0.110755436,-0.19396693,0.91842884,-0.5151399
1,2,1,1,1,1,3,1,1,2,1,2,1,-0.4745068,-0.31500894,-0.21601191,-0.19396693,-0.3289177,-0.86209613
