SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,LOT SIZE_na,YEAR BUILT_na,HOA-MONTH_na,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA-MONTH
1,3,1,5,5,1,1,1,1,2,1,2,2,-0.3577616,-0.26139715,-0.5355582,-0.023413053,-0.21309008,-0.26747382
1,2,1,4,4,1,3,1,1,1,1,1,1,1.0075718,0.7622379,1.1201738,-1.1071767,-0.21309008,1.2589818
1,2,1,3,1,1,3,1,1,1,1,1,1,-0.27693385,-0.64319474,-0.43514898,-0.60494477,-0.21309008,-0.68300533
1,6,1,5,3,1,4,1,1,1,1,1,2,-0.21664073,0.6152589,-0.34257492,-0.47277847,-0.21309008,-0.26747382
1,3,1,8,5,1,1,1,1,1,1,1,2,0.00268643,1.6580273,-0.53720427,-0.34061217,-0.21309008,-0.26747382
1,2,1,4,5,1,3,1,1,2,1,1,2,-0.014789837,-0.26139715,-0.6202971,-1.4243758,-0.21309008,-0.26747382
1,5,1,3,1,1,4,1,1,1,1,1,2,-0.49101812,-0.6788524,-0.6458438,0.9810508,-0.21309008,-0.26747382
1,2,1,3,3,1,3,1,1,1,1,1,1,0.6405702,-0.20399705,0.23756008,1.4304162,-0.21309008,0.6147114
1,2,1,3,1,1,2,1,1,1,2,1,1,-0.41455945,-0.47708234,-0.36930683,-0.4463452,-0.21309008,-0.27861583
1,2,1,3,3,1,3,1,1,1,1,1,1,0.116282165,-0.1726879,-0.57480013,0.7695847,-0.21309008,1.0564594
1,5,1,4,2,1,2,1,1,1,1,1,2,-0.25998187,0.56655574,-0.5832938,-0.60494477,-0.21309008,-0.26747382
1,2,1,2,1,1,2,1,1,1,2,1,1,-0.5325243,-0.7814768,-0.36930683,-0.023413053,-0.21309008,-0.48834783
1,2,1,2,1,1,2,1,1,1,2,1,1,-0.582769,-0.7814768,-0.36930683,-0.60494477,-0.21309008,-0.3552991
1,2,1,3,3,1,3,1,1,2,1,1,1,-0.080762744,-0.26139715,0.78918546,0.21448629,-0.21309008,0.7261315
1,2,1,5,8,1,3,1,1,1,1,1,1,3.6989172,1.7580426,-0.36930683,1.8269151,-0.21309008,2.8345933
1,3,1,9,5,1,4,1,1,1,1,1,2,0.0018126166,2.2407253,-0.558603,1.7476153,-0.21309008,-0.26747382
1,3,1,9,3,2,2,1,1,1,1,1,2,-0.12401651,0.91443515,-0.5339122,-1.3715093,-0.21309008,-0.26747382
1,2,1,3,1,1,3,1,1,2,1,1,1,-0.4302881,-0.26139715,0.52943826,-0.049846314,-0.21309008,-0.39396843
1,2,1,3,1,1,2,1,1,2,2,1,1,-0.46048358,-0.26139715,-0.36930683,0.18805303,-0.21309008,-0.22093953
1,2,1,4,3,1,3,1,1,1,1,1,1,-0.08687944,-0.2274789,0.9804568,-0.6578113,-0.21309008,-0.35333285
1,7,1,1,0,1,4,1,1,2,1,2,2,-0.51766944,-0.26139715,1.5266832,-0.023413053,-0.21309008,-0.26747382
1,2,1,4,6,1,3,1,1,1,1,1,1,2.6263113,0.8335532,0.7263062,-0.07627957,-0.21309008,5.3526883
1,2,1,1,1,1,3,1,1,2,1,1,1,-0.47397876,-0.26139715,0.16098568,-0.60494477,-0.21309008,-0.2976228
1,2,1,2,3,1,3,1,1,2,1,1,1,0.4439622,-0.26139715,0.08948113,-0.9485771,-0.21309008,1.1822985
1,3,1,7,7,1,1,1,1,1,1,1,2,-0.0016826369,0.74049544,-0.54576373,-0.6842445,-0.21309008,-0.26747382
1,3,1,7,8,1,2,1,1,2,1,1,2,-0.15066782,-0.26139715,-0.46807003,-0.60494477,-0.21309008,-0.26747382
1,2,1,4,4,1,3,1,1,1,1,1,1,-0.058480505,-0.3466276,-0.25454402,0.87531775,-0.21309008,0.9614246
1,5,1,4,3,1,2,1,1,1,1,1,2,-0.38659742,-0.34749728,-0.5946186,-0.86927736,-0.21309008,-0.26747382
