SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,LOT SIZE_na,YEAR BUILT_na,$-SQUARE FEET_na,HOA-MONTH_na,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$-SQUARE FEET,HOA-MONTH
1,2,1,3,2,1,2,1,1,1,2,1,1,1,-0.55890834,-0.2814818,0.8134578,-0.18831599,-0.67303383,-0.8101497
1,6,1,4,1,1,3,1,1,1,1,1,1,2,-0.01719159,-0.41097623,-1.3324401,-0.18831599,-0.93640053,-0.25913695
1,5,1,3,1,1,4,1,1,1,1,1,1,2,-0.6255194,-0.4315167,0.9144412,-0.18831599,-0.7078467,-0.25913695
1,5,1,4,2,1,2,1,1,2,1,1,2,2,-0.27962324,-0.3886496,-0.85276884,-0.18831599,-0.28630862,-0.25913695
1,2,1,2,2,1,3,1,1,1,1,1,1,1,-0.40963528,0.3903888,1.495096,-0.18831599,3.618027,-0.043151334
1,2,1,3,1,1,4,1,1,1,2,1,1,1,-0.599838,-0.2814818,-0.070147246,-0.18831599,-0.9076421,-0.36107075
1,3,1,6,3,1,2,1,1,2,1,1,2,2,-0.27962324,-0.352927,-0.60031027,-0.18831599,-0.28630862,-0.25913695
1,2,1,2,2,1,3,1,1,1,2,1,1,1,-0.5195837,-0.2814818,1.5455877,-0.18831599,-0.4611296,-0.67186195
1,6,1,5,6,1,3,1,1,1,1,1,1,2,0.9410451,-0.41579878,-1.6606363,-0.18831599,-0.4717248,-0.25913695
1,2,1,4,3,1,2,1,1,1,2,2,1,1,0.051827133,-0.2814818,-0.032278456,-0.18831599,-0.9772678,-0.6782774
1,2,1,2,1,1,3,1,1,1,1,1,1,1,-0.64157027,-0.10733416,1.5708336,-0.18831599,0.5953644,-0.2876499
1,2,1,3,4,1,3,1,1,2,1,1,2,1,-0.27962324,0.4329701,0.9396871,2.3290787,-0.28630862,-0.7331648
1,6,1,5,3,1,3,1,1,1,1,1,1,2,0.12245094,-0.2814818,-0.72653955,-0.18831599,0.35924253,-0.25913695
1,2,1,4,4,1,3,1,1,1,1,1,1,1,1.6472832,-0.28594714,-1.534407,-0.18831599,1.6306679,4.2423453
1,2,1,2,1,1,3,1,1,1,1,1,1,1,-0.43932936,0.18559113,0.20755719,-0.18831599,-0.950023,1.3739424
1,2,1,2,1,1,3,1,1,1,1,1,1,1,-0.83418065,-0.29687825,1.5708336,-0.18831599,0.15793349,-0.6205386
1,2,1,2,1,1,3,1,1,2,1,1,2,1,-0.27962324,0.14668922,-0.3478517,-0.18831599,-0.28630862,-0.6497644
1,2,1,2,1,1,3,1,1,2,1,1,2,1,-0.27962324,-0.07268324,0.13181962,-0.18831599,-0.28630862,0.22059347
1,2,1,2,1,1,2,1,1,2,2,1,2,1,-0.27962324,-0.2814818,0.030836187,-0.18831599,-0.28630862,-0.42665055
1,3,1,4,5,1,3,1,1,1,1,1,1,2,0.73960674,-0.39579412,-1.3324401,-0.18831599,-0.31733745,-0.25913695
1,2,1,5,8,1,3,1,1,1,1,1,1,1,1.6232069,-0.2814818,1.7223086,-0.18831599,2.800682,3.0925608
1,3,1,6,5,1,2,1,1,2,1,1,2,2,-0.27962324,-0.27337277,-0.60031027,-0.18831599,-0.28630862,-0.25913695
