SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,LOT SIZE_na,YEAR BUILT_na,$-SQUARE FEET_na,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$-SQUARE FEET
1,2,1,3,3,1,2,1,1,1,1,1,1,-0.090037726,-0.31261665,0.0042267903,1.3353246,-0.17241736,0.32530323
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.5658401,-0.26303518,2.0238051,0.008640442,-0.17241736,-0.96850806
1,2,1,1,1,1,2,1,1,2,2,2,2,-0.5241286,-0.28526136,-0.2777154,0.008640442,-0.17241736,-0.25572756
1,6,1,4,1,1,3,1,1,1,1,1,1,-0.50957805,0.015646877,-0.4178424,-1.3700706,-0.17241736,-0.9537047
1,2,1,2,2,1,3,1,1,1,1,1,1,-0.1385395,-0.444264,0.06057529,1.3873514,-0.17241736,0.4481709
1,6,1,6,8,1,3,1,1,1,1,1,1,-0.090037726,0.6089148,-0.42009342,-1.3700706,-0.17241736,-0.52440804
1,2,1,3,3,1,3,1,1,1,1,1,1,0.15247114,-0.43571547,0.03327241,1.673499,-0.17241736,1.3200872
1,2,1,2,1,1,4,1,1,1,1,1,1,-0.5993068,-0.5194911,-0.43508822,0.24276118,-0.17241736,-0.9314997
1,2,1,4,5,1,3,1,1,2,1,1,2,0.7078165,-0.28526136,0.020855408,-0.7457486,-0.17241736,-0.25572756
1,2,1,3,3,1,3,1,1,1,1,1,1,0.831496,-0.26474488,1.5163054,1.6474856,-0.17241736,2.5916934
1,5,1,4,3,1,2,1,1,2,1,1,2,-0.39608392,-0.28526136,-0.3806277,-0.7457486,0.67315435,-0.25572756
1,2,1,5,8,1,3,1,1,1,1,1,1,4.1029406,1.1961988,-0.20268695,1.2052575,-0.17241736,3.664935
1,3,1,7,8,1,2,1,1,2,1,1,2,-0.12447398,-0.28526136,-0.32979783,1.7775527,-0.17241736,-0.25572756
1,2,1,2,1,1,3,1,1,1,1,1,1,0.10396937,-0.6896068,1.5163054,1.6474856,-0.17241736,2.270461
1,5,1,4,2,1,2,1,1,1,1,1,1,-0.51442826,-0.10574224,-0.37699696,0.294788,-0.17241736,-0.91669637
1,3,1,6,3,1,2,1,1,2,1,1,2,-0.44895133,-0.28526136,-0.35884348,-0.6156815,-0.17241736,-0.25572756
1,2,1,3,3,1,3,1,1,2,1,1,2,0.17672203,-0.28526136,-0.013926722,-0.6937218,-0.17241736,-0.25572756
1,2,1,3,1,1,2,1,1,1,2,1,1,-0.5270387,-0.43400577,-0.2777154,0.19073434,-0.17241736,-0.75978106
1,5,1,4,3,1,2,1,1,2,1,1,2,-0.36892292,-0.28526136,-0.34795135,-0.6937218,-0.17241736,-0.25572756
1,3,1,7,7,1,2,1,1,1,1,1,1,-0.3325466,0.32339394,-0.37699696,-0.8758157,-0.17241736,-0.7568204
1,2,1,2,2,1,2,1,1,1,2,1,1,-0.36164767,-0.5126522,-0.2777154,0.9711368,-0.17241736,-0.13656074
1,3,1,7,9,1,2,1,1,1,1,1,1,0.006480807,1.2688613,-0.37184137,-0.48561445,-0.17241736,-0.6576381
1,2,1,3,1,1,3,1,1,2,1,1,2,-0.34467202,-0.28526136,-0.27050847,-1.083923,-0.17241736,-0.25572756
1,3,1,8,3,1,2,1,1,1,1,1,1,-0.28452983,1.2757001,-0.37699696,-1.3700706,-0.17241736,-0.9566654
1,2,1,4,4,1,3,1,1,1,1,1,1,1.0934056,0.78415966,0.5351081,-1.1099364,-0.17241736,0.88931024
1,3,1,10,7,1,1,1,1,1,1,1,1,-0.12641406,1.444961,-0.37699696,-0.6156815,-0.17241736,-0.8337977
1,2,1,1,1,1,2,1,1,1,2,1,1,-0.66720885,-0.90417486,-0.2777154,0.060667273,-0.17241736,-0.89745206
1,2,1,3,4,1,3,1,1,2,1,1,2,-0.5023028,-0.28526136,0.4399111,0.9711368,2.2586012,-0.25572756
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.18704127,-0.44853827,0.52795565,1.3353246,-0.17241736,0.30753922
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.44410068,-0.9118686,0.14480759,1.7775527,-0.17241736,0.6568979
1,5,1,4,5,1,1,1,1,1,1,1,1,-0.18704127,-0.009998711,-0.35884348,0.294788,-0.17241736,-0.2860744
1,6,1,4,3,1,3,1,1,2,1,1,2,-0.3572825,-0.28526136,-0.37699696,-0.7457486,-0.040296778,-0.25572756
1,3,1,7,3,1,1,1,1,2,1,1,2,0.031216713,-0.28526136,-0.39515048,-0.7457486,-0.17241736,-0.25572756
1,2,1,2,1,1,3,1,1,2,1,1,2,-0.4610763,-0.28526136,0.3841072,-0.04338639,-0.17241736,-0.25572756
1,2,1,2,1,1,2,1,1,2,2,1,2,-0.54619694,-0.28526136,-0.2777154,-0.04338639,-0.17241736,-0.25572756
1,2,1,5,6,1,3,1,1,1,1,1,1,1.049754,1.2158604,-0.114206724,0.8410697,-0.17241736,0.44521022
1,2,1,3,1,1,3,1,1,2,1,1,2,-0.5027878,-0.28526136,0.20936148,-0.069399804,-0.17241736,-0.25572756
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.262219,-0.6494287,-0.109232664,1.6214722,-0.17241736,0.5443926
1,2,1,2,1,1,2,1,1,1,2,1,1,-0.65993357,-0.64771897,-0.2777154,-0.121426634,-0.17241736,-1.079533
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.40044907,-0.5964278,-0.122847795,1.5434319,-0.17241736,-0.12619841
1,2,1,1,1,1,3,1,1,2,1,1,2,-0.51733834,-0.28526136,-0.3770696,1.6214722,-0.17241736,-0.25572756
1,2,1,3,2,1,3,1,1,1,1,1,1,0.34647825,-0.56650794,1.5163054,1.6474856,-0.17241736,2.5176768
1,4,1,5,13,1,4,1,1,1,1,1,1,2.8928213,8.969377,-0.2774431,-1.396084,-0.17241736,-0.4992424
1,6,1,7,10,1,3,1,1,1,1,1,1,1.9227859,3.6692884,-0.40745857,-2.6967547,-0.17241736,-0.021094749
1,2,1,4,4,1,3,1,1,1,1,1,1,0.49198356,0.76278836,-0.29900947,1.6995125,-0.17241736,0.14914358
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.62113214,-0.6528481,-0.19546185,-0.35554737,-0.17241736,-0.91669637
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.36649784,-0.69046164,-0.037526287,0.86708313,-0.17241736,0.22464058
1,2,1,2,1,1,2,1,1,2,2,1,2,-0.6065816,-0.28526136,-0.2777154,0.1126941,-0.17241736,-0.25572756
1,3,1,8,3,1,2,1,1,2,1,1,2,0.006965825,-0.28526136,-0.3543051,-1.1359499,-0.17241736,-0.25572756
1,5,1,3,4,1,4,1,1,1,1,1,1,-0.5027878,-0.4989746,-0.37579885,0.9711368,-0.17241736,-0.62507075
1,3,1,4,3,1,3,1,1,2,1,1,2,-0.32818145,-0.28526136,-0.39515048,0.034653857,1.7829671,-0.25572756
1,2,1,2,3,1,3,1,1,1,1,1,1,-0.1385395,-0.34852046,0.36729705,-1.0579096,-0.17241736,0.2572079
1,5,1,4,2,1,2,1,1,2,1,1,2,-0.4222749,-0.28526136,-0.39515048,-0.6156815,-0.17241736,-0.25572756
1,2,1,3,4,1,3,1,1,1,1,1,1,-0.3107208,0.42084715,0.80029464,0.34681484,-0.17241736,-0.7612614
1,2,1,2,1,1,2,1,1,2,2,1,2,-0.5871809,-0.28526136,-0.2777154,0.034653857,-0.17241736,-0.25572756
1,2,1,4,4,1,3,1,1,1,1,1,1,0.29797646,0.110535555,0.043982983,1.4133649,-0.17241736,0.5192269
1,3,1,8,4,1,1,1,1,1,1,1,1,0.51623446,2.0236964,-0.24992238,-1.1359499,-0.17241736,-0.43114707
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.11428861,-0.41177958,-0.37699696,-1.1359499,-0.17241736,0.45113155
1,3,1,5,3,1,2,1,1,2,1,1,2,-0.38153338,-0.28526136,-0.37728742,-0.48561445,-0.17241736,-0.25572756
1,2,1,3,3,1,3,1,1,1,1,1,1,0.6895764,-0.4605062,-0.37699696,-1.1359499,-0.17241736,3.0935264
1,5,1,3,2,1,4,1,1,1,1,1,1,-0.55613977,-0.4476834,-0.43203843,0.8150563,-0.17241736,-0.83971906
1,2,1,2,1,1,3,1,1,2,1,1,2,-0.3325466,-0.28526136,-0.102261715,0.47688192,4.5574994,-0.25572756
1,2,1,1,4,1,3,1,1,1,1,1,1,0.613238,0.42084715,-0.40353742,-2.4366205,-0.17241736,0.6480159
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.1385395,-0.058725327,-0.36824697,0.50289536,-0.17241736,-0.13804108
1,2,1,2,1,1,1,1,1,1,2,1,1,-0.5027878,-0.60497636,-0.2777154,1.4914051,-0.17241736,-0.5007227
1,5,1,4,5,1,2,1,1,1,1,1,1,-0.18316112,0.4764126,-0.32253644,-0.095413215,-0.17241736,-0.5939837
1,5,1,4,2,1,2,1,1,1,1,1,1,-0.31372792,0.59181774,-0.40422726,-0.6156815,-0.17241736,-0.82639605
1,2,1,3,1,1,2,1,1,2,2,1,2,-0.6090067,-0.28526136,-0.2777154,-0.04338639,-0.17241736,-0.25572756
1,3,1,5,3,1,1,1,1,1,1,1,1,-0.32284623,0.5165907,-0.32253644,0.294788,-0.17241736,-0.8145534
1,5,1,4,3,1,4,1,1,1,1,1,1,-0.38104886,-0.49555516,-0.24992238,-0.6156815,-0.17241736,-0.2283414
1,3,1,4,3,1,1,1,1,1,1,1,1,-0.33982188,0.09942246,-0.39515048,0.16472094,-0.17241736,-0.6635594
1,2,1,2,1,1,3,1,1,2,1,1,2,-0.42955014,-0.28526136,-0.3935893,-1.7602718,-0.17241736,-0.25572756
1,2,1,4,3,1,3,1,1,2,1,1,2,0.4168058,-0.28526136,0.4326497,-1.2400035,-0.17241736,-0.25572756
1,2,1,3,3,1,3,1,1,1,1,1,1,0.077293396,0.32681334,-0.28851676,-0.6937218,1.6244224,-0.09659175
1,2,1,2,1,1,3,1,1,2,1,1,2,-0.44167557,-0.28526136,-0.392137,-2.0464194,-0.17241736,-0.25572756
1,2,1,3,1,1,2,1,1,2,1,1,2,-0.5411042,-0.28526136,-0.19183114,-0.6937218,-0.17241736,-0.25572756
1,2,1,5,5,1,3,1,1,2,1,1,2,0.831496,-0.28526136,-0.06675345,-0.8237888,-0.17241736,-0.25572756
1,2,1,3,2,1,2,1,1,1,2,1,1,-0.53872764,-0.22029252,-0.2777154,0.7370161,-0.17241736,-0.9211374
1,5,1,5,5,1,2,1,1,2,1,1,2,-0.34806716,-0.28526136,-0.40241188,-0.7457486,-0.17241736,-0.25572756
