SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,YEAR BUILT_na,$-SQUARE FEET_na,HOA-MONTH_na,PRICE,SQUARE FEET,YEAR BUILT,DAYS ON MARKET,$-SQUARE FEET,HOA-MONTH
1,2,1,4,5,1,3,1,1,1,1,1,1,0.8396773,0.5192237,1.6879247,-0.20307691,1.0237876,1.0330697
1,2,1,4,4,1,3,1,1,1,1,1,1,0.34964168,0.60206366,1.7138132,-0.20307691,0.15213555,-0.45332688
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.35726902,-0.7324128,1.4808173,-0.20307691,0.35464057,-0.5281064
1,2,1,3,3,1,3,1,1,1,1,1,1,0.013111255,0.21798745,-0.6679229,1.4765861,-0.09145745,1.1538203
1,5,1,4,2,1,4,1,1,1,1,1,2,-0.39859733,-0.17512582,0.056953296,-0.20307691,-0.71217936,-0.2804758
1,2,1,4,8,1,3,1,1,2,1,2,1,0.5070828,-0.30315122,0.2640608,-0.20307691,-0.2631465,2.890299
1,6,1,6,6,1,3,1,1,1,1,1,2,0.32996154,1.2045361,-1.1080264,-0.20307691,-0.26167905,-0.2804758
1,2,1,2,2,1,3,1,1,2,1,2,1,-0.31948316,-0.30315122,1.7397016,-0.20307691,-0.2631465,-0.31602675
1,3,1,5,3,1,2,1,1,2,1,2,2,-0.14236227,-0.30315122,0.08284173,-0.20307691,-0.2631465,-0.2804758
1,2,1,4,4,1,3,1,1,1,1,1,1,2.1995752,1.5057722,-1.5481298,-0.20307691,1.5476593,3.5823164
1,2,1,1,1,1,3,1,1,2,1,2,1,-0.46944585,-0.30315122,0.31583765,-0.20307691,-0.2631465,-0.35525534
