SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,LOT SIZE_na,YEAR BUILT_na,$-SQUARE FEET_na,HOA-MONTH_na,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$-SQUARE FEET,HOA-MONTH
1,2,1,1,1,2,1,1,2,2,1,2,1,-0.555493,-0.2988815,-0.27320227,-0.035358068,-0.16497011,-0.28536287,-0.40069708
1,2,1,3,1,2,1,1,1,2,1,1,1,-0.5051414,-0.39171213,-0.27320227,0.09254677,-0.16497011,-0.86197704,-0.0041346326
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.4380058,-0.2988815,-0.27320227,-1.0074348,-0.16497011,-0.28536287,-0.5382147
1,2,1,3,1,3,1,1,1,1,1,1,1,-0.26057613,-0.61715794,-0.38993767,1.6785667,-0.16497011,0.1903056,-0.67813087
1,2,1,1,1,4,1,1,1,1,1,1,1,-0.5463818,-0.7156721,-0.42794964,0.70649,-0.16497011,-0.79467994,-0.8820088
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.35456592,-0.2988815,-0.047939423,-1.1865016,-0.16497011,-0.28536287,-0.26317945
1,2,1,6,1,3,1,1,2,1,1,2,1,2.3073587,-0.2988815,-0.1674108,1.6785667,-0.16497011,-0.28536287,1.6516736
1,2,1,1,1,2,1,1,1,2,1,1,1,-0.61303777,-1.0074255,-0.27320227,0.066965796,-0.16497011,-0.8528002,-0.6981189
1,2,1,4,1,3,1,1,1,1,1,1,1,0.3412461,0.11696184,0.058581628,1.397176,-0.16497011,0.6109128,0.266903
1,7,1,0,1,4,1,1,2,1,2,2,2,-0.5463818,-0.2988815,0.7772704,-0.035358068,-0.16497011,-0.28536287,-0.26437873
1,6,1,11,1,3,1,1,1,1,1,1,2,11.27475,6.428498,-0.36378163,-2.9004264,-0.16497011,3.2003236,-0.26437873
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.37806335,-0.2988815,-0.38107306,-1.7237018,-0.16497011,-0.28536287,-0.5422123
1,2,1,1,1,3,1,1,1,1,1,1,1,-0.10376668,-0.70809406,0.16276798,0.8088138,-0.16497011,1.0422263,0.8889304
1,2,1,3,1,3,1,1,1,1,1,1,1,0.12305556,0.3566164,-0.2755005,-0.67488223,1.8773127,-0.025351161,1.6388812
1,2,1,2,1,3,1,1,1,1,1,1,1,0.017556844,-0.35855833,0.1824306,-1.2376635,-0.16497011,0.5910295,0.3124757
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.46006462,-0.2988815,-0.08292356,-0.7260442,-0.16497011,-0.28536287,-0.36152056
1,3,1,5,1,2,1,1,2,1,1,2,2,-0.018888166,-0.2988815,-0.3826417,-1.3911493,-0.16497011,-0.28536287,-0.26437873
1,2,1,2,1,2,1,1,1,2,1,1,1,-0.3109278,-0.5735844,-0.27320227,0.96229964,-0.16497011,-0.066647135,-0.21440868
1,5,1,3,1,1,1,1,1,1,1,1,2,-0.41882423,-0.3765561,-0.38993767,0.8343948,-0.16497011,-0.6233781,-0.26437873
1,2,1,1,1,2,1,1,1,2,1,1,1,-0.5626861,-0.8179752,-0.27320227,-0.035358068,-0.16497011,-0.7732672,-0.53661567
1,2,1,2,1,2,1,1,1,2,1,1,1,-0.48898086,-0.6275777,-0.27320227,0.8343948,-0.16497011,-0.6447908,-0.8604217
1,2,1,5,1,3,1,1,2,1,1,2,2,0.0055683544,-0.2988815,-0.4122633,-1.3911493,-0.16497011,-0.28536287,-0.26437873
1,2,1,1,1,2,1,1,1,2,1,1,1,-0.5559726,-0.77061266,-0.27320227,-0.035358068,-0.16497011,-0.78703254,-0.5725941
1,5,1,2,1,4,1,1,1,1,1,1,2,-0.38046104,0.5669062,-0.2409906,0.16928966,-0.16497011,-0.9308037,-0.26437873
1,2,1,1,1,3,1,1,1,1,1,1,1,-0.30661196,-0.7327226,-0.3644018,-0.57255834,-0.16497011,0.2545438,-0.7516868
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.49794826,-0.2988815,-0.21483457,1.7041477,-0.16497011,-0.28536287,-0.873214
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.50993675,-0.2988815,-0.3808177,-2.363226,-0.16497011,-0.28536287,-0.0001370273
1,2,1,3,1,3,1,1,1,1,1,1,1,-0.073555686,-0.21457613,0.47463387,-0.6493013,-0.16497011,0.12912638,-0.37191433
1,2,1,4,1,3,1,1,1,1,1,1,1,0.6529468,0.46081406,-0.39106855,-2.388807,-0.16497011,0.7439776,0.5291459
1,4,1,3,1,4,1,1,1,1,1,1,2,-0.32579353,0.24105176,-0.31916684,-1.1097586,-0.16497011,-0.7411481,-0.26437873
1,2,1,1,1,4,1,1,1,1,1,1,1,-0.5459027,-0.5811624,-0.4227695,0.24603257,-0.16497011,-0.88797826,-0.47265399
1,2,1,2,1,3,1,1,1,1,1,1,1,-0.28215542,-0.6758875,-0.20961796,0.8343948,-0.16497011,0.22854263,0.33646134
1,5,1,2,1,1,1,1,1,1,1,1,2,-0.2927053,0.051601492,-0.3826417,-0.7260442,-0.16497011,-0.5897295,-0.26437873
