SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,LOT SIZE_na,YEAR BUILT_na,$-SQUARE FEET_na,HOA-MONTH_na,PRICE,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$-SQUARE FEET,HOA-MONTH
1,2,1,4,3,1,3,1,1,1,1,1,1,0.4713036,0.08973203,-0.6387055,-0.20961694,0.379488,1.185941
1,5,1,5,8,1,1,1,1,1,1,1,2,0.62642765,-0.4717088,1.258914,-0.20961694,-0.24560323,-0.26232257
1,6,1,6,5,1,3,1,1,1,1,1,2,0.07241323,-0.51015794,-0.48484445,-0.20961694,-0.2367367,-0.26232257
1,2,1,3,3,1,2,1,1,2,1,2,1,-0.36725262,-0.36159903,1.4384185,-0.20961694,-0.2537309,-0.6995469
1,2,1,1,1,1,3,1,1,1,1,2,1,-0.41556266,0.6323649,1.6692101,-0.20961694,-0.2537309,-0.6339297
1,5,1,3,2,1,4,1,1,1,1,1,1,-0.45944062,-0.5941985,0.9511919,-0.20961694,-1.0465475,-0.8796592
1,2,1,3,1,1,3,1,1,1,1,1,1,0.22753726,0.6164139,-1.3823671,-0.20961694,1.2661422,-0.29111376
1,5,1,4,2,1,4,1,1,1,1,1,2,-0.37301436,-0.3090439,0.18188672,-0.20961694,-0.94753784,-0.26232257
1,2,1,5,6,1,3,1,1,1,1,1,1,6.654104,2.541252,-1.2285061,-0.20961694,4.60144,3.5809658
1,2,1,2,1,1,3,1,1,1,1,2,1,-0.32647714,-0.31326976,-0.6387055,-0.20961694,-0.2537309,-0.04873216
1,3,1,0,0,1,3,1,1,1,1,2,2,0.27185842,-0.523014,-1.5362282,-0.20961694,-0.2537309,-0.26232257
1,2,1,5,7,1,3,1,1,1,1,1,1,3.1084123,2.4874468,0.6434698,-0.20961694,2.278406,1.2676276
1,3,1,6,4,1,1,1,1,1,1,1,2,-0.082755126,-0.5401554,-1.3310802,-0.20961694,-0.6357311,-0.26232257
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.13589619,-0.5252757,-0.56177497,-0.20961694,0.6100181,-0.37280038
1,5,1,4,2,1,2,1,1,1,1,2,2,-0.36415014,-0.5401554,-0.5874185,-0.20961694,-0.2537309,-0.26232257
1,6,1,4,3,1,3,1,1,1,1,2,2,-0.30475977,-0.510396,-0.715636,-0.03229747,-0.2537309,-0.26232257
1,2,1,2,2,1,3,1,1,1,1,2,1,-0.26043862,-0.06400503,0.5665393,2.485639,-0.2537309,-0.015254041
1,2,1,4,4,1,3,1,1,1,1,1,1,1.0917997,-0.36159903,-1.2797931,-0.20961694,1.5188388,0.2853795
1,3,1,5,5,1,2,1,1,1,1,1,2,-0.24448301,-0.46873286,-0.20276588,-0.20961694,-0.71553,-0.26232257
1,5,1,4,5,1,2,1,1,1,1,2,2,-0.3930032,-0.5401554,-0.715636,-0.20961694,-0.2537309,-0.26232257
1,5,1,5,4,1,2,1,1,1,1,1,2,-0.2825992,-0.42111784,-0.07454835,3.2303808,-0.6741528,-0.26232257
1,3,1,5,3,1,2,1,1,1,1,2,2,-0.08271125,-0.5044441,0.07931268,-0.20961694,-0.2537309,-0.26232257
1,6,1,6,8,1,3,1,1,1,1,1,2,-0.060550228,-0.58104485,-1.3310802,-0.20961694,-0.49977744,-0.26232257
1,2,1,3,2,1,2,1,1,2,1,1,1,-0.44658747,-0.36159903,0.18188672,-0.20961694,-0.57514304,-0.5167563
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.30475977,-0.510396,-0.56177497,-0.20961694,0.19772387,-0.66004264
1,2,1,5,7,1,3,1,1,1,1,1,1,1.7100798,-0.355171,1.412775,-0.20961694,1.7124249,1.6097739
1,2,1,2,1,1,2,1,1,2,1,2,1,-0.48824936,-0.36159903,-0.048904847,-0.20961694,-0.2537309,-0.47993037
1,2,1,3,3,1,2,1,1,1,1,1,1,-0.060550228,0.11455137,1.3358445,-0.20961694,0.3484551,-0.21009672
1,3,1,4,5,1,3,1,1,1,1,1,2,0.1366789,-0.5520592,-1.3310802,-0.20961694,-0.32392436,-0.26232257
1,2,1,4,3,1,3,1,1,1,1,1,1,-0.12703195,-0.0585293,-1.3567237,-0.20961694,-0.02985071,-0.38619164
1,2,1,2,1,1,4,1,1,1,1,1,1,-0.5263655,-0.6140778,0.72040033,-0.20961694,-0.81601745,-0.7691814
1,2,1,4,3,1,3,1,1,1,1,1,1,0.78155166,-0.048530143,-0.2796964,-0.20961694,1.6030709,0.7473776
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.21789032,-0.07144488,1.617923,-0.20961694,0.5671631,-0.2603139
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.33755744,-0.09376443,1.5409925,-0.20961694,0.051425926,-0.7095903
1,2,1,3,3,1,3,1,1,1,1,2,1,-0.083154015,0.41631168,0.23317373,-0.20961694,-0.2537309,1.1357238
1,2,1,2,3,1,3,1,1,1,1,1,1,0.33834013,2.5933309,1.6435666,-0.20961694,2.5370133,-0.03333223
1,3,1,6,5,1,2,1,1,1,1,1,2,0.036956307,-0.5148599,-0.5874185,-0.20961694,-0.49238867,-0.26232257
1,2,1,2,1,1,3,1,1,1,1,2,1,-0.39960706,0.7372966,-0.02326134,-0.20961694,-0.2537309,0.0945542
1,2,1,2,2,1,3,1,1,1,1,1,1,-0.282156,-0.25785777,0.84861785,-0.20961694,0.172602,0.25123182
1,6,1,9,11,1,3,1,1,1,1,1,2,10.399242,-0.5093842,-2.895334,-0.20961694,3.043884,-0.26232257
1,5,1,5,2,1,1,1,1,1,1,1,2,-0.29190665,-0.5401554,-0.715636,-0.20961694,-0.617998,-0.26232257
1,2,1,2,1,1,2,1,1,2,1,1,1,-0.54143476,-0.36159903,-0.02326134,-0.20961694,-0.79532886,-0.47993037
1,2,1,3,3,1,3,1,1,1,1,2,1,-0.07827869,-0.5252757,-0.56177497,-0.20961694,-0.2537309,-0.32057452
1,5,1,5,2,1,4,1,1,1,1,1,2,-0.32692036,-0.31100804,-0.45920095,-0.20961694,-0.83227277,-0.26232257
1,5,1,4,2,1,4,1,1,1,1,1,1,-0.4598838,-0.5912226,0.69475687,-0.20961694,-0.8174952,-0.7805639
1,2,1,4,8,1,3,1,1,1,1,2,1,0.53556925,-0.21452807,0.18188672,-0.20961694,-0.2537309,2.0175374
1,2,1,4,8,1,3,1,1,1,1,2,1,0.64858824,-0.15024777,0.25881723,-0.20961694,-0.2537309,3.2388194
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.23783484,-0.095430955,1.361488,-0.20961694,0.9218248,-0.45247832
1,6,1,7,10,1,3,1,1,1,1,1,2,1.7787776,-0.5603323,-2.638899,-0.20961694,0.0026599446,-0.26232257
1,2,1,2,4,1,3,1,1,1,1,1,1,-0.084926866,4.1721263,0.8742614,-0.20961694,0.4371205,-0.36208737
1,6,1,3,1,1,4,1,1,1,1,1,2,-0.25999543,-0.42111784,-0.97207105,-0.20961694,-0.47465557,-0.26232257
1,2,1,3,1,1,2,1,1,2,1,2,1,-0.5179445,-0.36159903,0.05366918,-0.20961694,-0.2537309,-0.26968777
1,2,1,4,5,1,3,1,1,1,1,1,1,1.0231019,-0.35951588,1.6692101,-0.20961694,1.0503896,1.2100452
1,5,1,7,7,2,2,1,1,1,1,1,2,-0.2157239,-0.48301739,0.104956195,-0.20961694,-0.79680663,-0.26232257
1,3,1,7,5,1,1,1,1,1,1,1,2,-0.083154015,-0.5401554,-0.715636,-0.20961694,-0.30766904,-0.26232257
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.504205,1.6144252,-0.15147887,2.0600724,-0.8647834,-0.38150468
1,5,1,4,3,1,4,1,1,1,1,1,2,-0.3264776,-0.3020802,-0.5874185,-0.20961694,-0.20422603,-0.26232257
1,2,1,2,2,1,3,1,1,1,1,1,1,-0.104871385,0.20692454,1.3871315,-0.20961694,0.4711089,-0.23620965
1,2,1,5,6,1,3,1,1,1,1,2,1,2.1111863,-0.18899451,1.6948535,-0.20961694,-0.2537309,1.352662
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.2710757,-0.38725165,1.617923,-0.20961694,0.010048729,-0.2904442
1,2,1,3,3,1,3,1,1,1,1,2,1,-0.083154015,0.68563426,0.20753022,-0.20961694,-0.2537309,0.76076883
1,2,1,2,1,1,3,1,1,1,1,2,1,-0.49268147,-0.53717947,-2.3568203,-0.20961694,-0.2537309,-0.030653978
1,3,1,9,7,1,2,1,1,2,1,1,2,-0.26043862,-0.36159903,0.31010425,-0.20961694,-0.94310457,-0.26232257
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.38409466,0.34500816,1.7717841,-0.20961694,0.6794727,-0.72432065
