,Unnamed: 0,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
184,184,MLS Listing,,Multi-Family (2-4 Unit),107-36 Waltham St,Jamaica,NY,11435,1100000,5.0,5.0,Jamaica,,2500.0,2022.0,1,,,Active,January-8-2023 03:00 PM,January-8-2023 04:30 PM,https://www.redfin.com/NY/Jamaica/107-36-Waltham-St-11435/home/23178959,OneKey,3450435,N,Y,40.692519,-73.801489
185,185,MLS Listing,,Condo/Co-op,308 N 7th St Unit GARDEN,Brooklyn,NY,11211,1850000,2.0,2.0,Williamsburg,998.0,13800.0,2018.0,1,1854.0,1280.0,Active,January-8-2023 11:00 AM,January-8-2023 02:00 PM,https://www.redfin.com/NY/Brooklyn/308-N-7th-St-11211/unit-GARDEN/home/148188450,REBNY,OLRS-1795688,N,Y,40.7149053,-73.9531381
186,186,MLS Listing,,Condo/Co-op,247 W 46th St #2801,New York,NY,10036,1250000,1.0,1.5,Theater District,988.0,14552.0,2007.0,1,1265.0,1031.0,Active,,,https://www.redfin.com/NY/New-York/247-W-46th-St-10036/unit-2801/home/45222674,REBNY,OLRS-0001413311,N,Y,40.7598688,-73.9876208
187,187,MLS Listing,,Condo/Co-op,66 Madison Ave,New York,NY,10016,2500000,1.0,2.0,NoMad,,11968.0,1917.0,1,,3216.0,Active,,,https://www.redfin.com/NY/New-York/66-Madison-Ave-10016/home/45251745,REBNY,OLRS-0001819666,N,Y,40.7437464,-73.9863775
188,188,MLS Listing,,Multi-Family (2-4 Unit),345 Schenck Ave,Cypress Hills,NY,11207,1045000,6.0,4.0,Cypress Hills,,2500.0,1899.0,1,,,Active,January-8-2023 11:30 AM,January-8-2023 01:00 PM,https://www.redfin.com/NY/Brooklyn/345-Schenck-Ave-11207/home/40759906,OneKey,3450431,N,Y,40.6724089,-73.8881805
189,189,MLS Listing,,Condo/Co-op,125 W 21st St Unit 2-C,New York,NY,10011,950000,0.0,1.0,Chelsea,605.0,9472.0,2006.0,1,1570.0,708.0,Active,,,https://www.redfin.com/NY/New-York/125-W-21st-St-10011/unit-2C/home/45205350,REBNY,OLRS-1967807,N,Y,40.7421908,-73.994695
190,190,MLS Listing,,Condo/Co-op,132 E 72nd St Unit 8THFL,New York,NY,10021,2750000,3.0,2.5,Lenox Hill,,4087.0,1925.0,1,,9580.0,Active,,,https://www.redfin.com/NY/New-York/132-E-72nd-St-10021/unit-8THFL/home/145245990,REBNY,RPLU-21922212274,N,Y,40.7703795,-73.9627382
191,191,MLS Listing,,Condo/Co-op,362 W 127th St Unit 2A,New York,NY,10027,469000,0.0,1.0,Harlem,,2498.0,2016.0,1,,277.0,Active,,,https://www.redfin.com/NY/New-York/362-W-127th-St-10027/unit-2A/home/114495134,REBNY,RLMX-86100,N,Y,40.8121684,-73.9523535
192,192,MLS Listing,,Condo/Co-op,411 E 53rd St Unit 6G,New York,NY,10022,975000,1.0,1.0,Sutton,850.0,17473.0,1959.0,1,1147.0,775.0,Active,January-8-2023 11:00 AM,January-8-2023 12:00 PM,https://www.redfin.com/NY/New-York/411-E-53rd-St-10022/unit-6G/home/45282129,REBNY,PRCH-5085492,N,Y,40.7557019,-73.9641351
193,193,MLS Listing,,Condo/Co-op,131 E 81st St #10,New York,NY,10028,1750000,2.0,2.0,Upper East Side,1350.0,1879.0,1982.0,1,1296.0,3024.0,Active,,,https://www.redfin.com/NY/New-York/131-E-81st-St-10028/unit-10/home/63689803,REBNY,RPLU-33422211691,N,Y,40.7764795,-73.9581251
